airline,source,destination,total_stops,additional_info,price,duration_in_min,journey_day,journey_month,dept_hour,dept_min,arrv_hour,arrv_min
IndiGo,Banglore,Delhi,0,No Info,3897,170,24,3,22,20,1,10
Air India,Kolkata,Banglore,2,No Info,7662,445,1,5,5,50,13,15
Jet Airways,Delhi,Cochin,2,No Info,13882,1140,9,6,9,25,4,25
IndiGo,Kolkata,Banglore,1,No Info,6218,325,12,5,18,5,23,30
IndiGo,Banglore,Delhi,1,No Info,13302,285,1,3,16,50,21,35
SpiceJet,Kolkata,Banglore,0,No Info,3873,145,24,6,9,0,11,25
Jet Airways,Banglore,Delhi,1,In-flight meal not included,11087,930,12,3,18,55,10,25
Jet Airways,Banglore,Delhi,1,No Info,22270,1265,1,3,8,0,5,5
Jet Airways,Banglore,Delhi,1,In-flight meal not included,11087,1530,12,3,8,55,10,25
Multiple carriers,Delhi,Cochin,1,No Info,8625,470,27,5,11,25,19,15
Air India,Delhi,Cochin,1,No Info,8907,795,1,6,9,45,23,0
IndiGo,Kolkata,Banglore,0,No Info,4174,155,18,4,20,20,22,55
Air India,Chennai,Kolkata,0,No Info,4667,135,24,6,11,40,13,55
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,730,9,5,21,10,9,20
IndiGo,Kolkata,Banglore,0,No Info,4804,155,24,4,17,15,19,50
Air India,Delhi,Cochin,2,No Info,14011,1595,3,3,16,40,19,15
SpiceJet,Delhi,Cochin,1,No Info,5830,270,15,4,8,45,13,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1355,12,6,14,0,12,35
Air India,Delhi,Cochin,2,No Info,13381,1380,12,6,20,15,19,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,1235,27,5,16,0,12,35
GoAir,Delhi,Cochin,1,No Info,19495,310,6,3,14,10,19,20
Air India,Banglore,Delhi,1,No Info,6955,920,21,3,22,0,13,20
IndiGo,Banglore,Delhi,0,No Info,3943,170,3,4,4,0,6,50
IndiGo,Banglore,Delhi,0,No Info,4823,175,1,5,18,55,21,50
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7757,800,6,5,18,55,8,15
Jet Airways,Delhi,Cochin,2,No Info,13292,910,9,6,21,25,12,35
IndiGo,Delhi,Cochin,1,No Info,8238,345,1,6,21,50,3,35
GoAir,Delhi,Cochin,1,No Info,7682,355,15,5,7,0,12,55
Vistara,Banglore,Delhi,0,No Info,4668,170,18,6,9,45,12,35
Vistara,Chennai,Kolkata,0,No Info,3687,135,15,6,7,5,9,20
Vistara,Chennai,Kolkata,0,No Info,3687,135,18,6,7,5,9,20
Air India,Kolkata,Banglore,2,No Info,13227,805,1,5,9,50,23,15
IndiGo,Banglore,Delhi,0,No Info,4423,170,6,4,4,0,6,50
Jet Airways,Delhi,Cochin,2,In-flight meal not included,10919,1320,15,6,14,35,12,35
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,330,18,5,7,5,12,35
IndiGo,Delhi,Cochin,1,No Info,5894,625,27,6,10,35,21,0
SpiceJet,Kolkata,Banglore,1,No Info,4649,315,21,5,15,5,20,20
Air India,Kolkata,Banglore,0,No Info,6245,150,18,5,14,15,16,45
Jet Airways,Banglore,Delhi,1,No Info,19225,375,6,3,7,0,13,15
Jet Airways,Delhi,Cochin,1,No Info,14924,715,3,6,7,5,19,0
Multiple carriers,Delhi,Cochin,1,No Info,9646,665,21,5,7,5,18,10
Air India,Banglore,Delhi,1,No Info,8714,510,15,3,6,45,15,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,1325,18,5,20,55,19,0
Air Asia,Banglore,Delhi,0,No Info,3383,165,6,5,11,10,13,55
Multiple carriers,Delhi,Cochin,1,No Info,13062,720,21,3,9,0,21,0
SpiceJet,Banglore,Delhi,0,No check-in baggage included,3527,170,24,3,5,45,8,35
IndiGo,Banglore,Delhi,0,No Info,3943,170,27,5,4,0,6,50
Air India,Chennai,Kolkata,0,No Info,4667,135,3,5,11,40,13,55
Air India,Kolkata,Banglore,1,No Info,6117,965,15,5,19,0,11,5
Jet Airways,Delhi,Cochin,2,In-flight meal not included,11150,1195,27,6,23,5,19,0
Jet Airways,Delhi,Cochin,0,In-flight meal not included,7202,195,9,3,11,0,14,15
Jet Airways,Kolkata,Banglore,1,No Info,12121,1520,1,5,9,35,10,55
IndiGo,Banglore,Delhi,0,No Info,4377,170,24,3,22,20,1,10
IndiGo,Banglore,Delhi,0,No Info,3943,180,18,6,21,15,0,15
Air Asia,Banglore,Delhi,0,No Info,4483,170,3,4,23,55,2,45
Jet Airways,Kolkata,Banglore,1,No Info,14231,975,24,3,19,45,12,0
Air India,Banglore,Delhi,2,No Info,17345,905,1,3,8,50,23,55
Vistara,Chennai,Kolkata,0,No Info,7414,135,6,3,7,5,9,20
Multiple carriers,Delhi,Cochin,1,No Info,8073,390,6,5,19,0,1,30
Vistara,Mumbai,Hyderabad,1,No Info,12395,1505,6,3,15,40,16,45
Air India,Kolkata,Banglore,1,No Info,8366,745,6,6,9,25,21,50
Air India,Delhi,Cochin,1,No Info,5117,1640,3,4,6,5,9,25
Multiple carriers,Delhi,Cochin,1,No Info,12524,615,3,6,8,45,19,0
IndiGo,Delhi,Cochin,1,No Info,7191,630,15,5,15,0,1,30
Vistara,Chennai,Kolkata,0,No Info,3687,135,24,5,7,5,9,20
IndiGo,Delhi,Cochin,1,No Info,5894,625,24,6,10,35,21,0
Vistara,Banglore,Delhi,0,No Info,5403,170,24,4,9,45,12,35
Air India,Mumbai,Hyderabad,0,No Info,3625,90,6,5,13,55,15,25
Air India,Delhi,Cochin,2,No Info,10861,800,21,5,5,55,19,15
IndiGo,Chennai,Kolkata,0,No Info,6297,135,12,3,13,20,15,35
Jet Airways,Mumbai,Hyderabad,0,No Info,5678,85,1,6,7,5,8,30
Jet Airways,Banglore,Delhi,1,In-flight meal not included,9134,1590,9,3,5,45,8,15
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,10791,440,24,6,11,40,19,0
Jet Airways,Delhi,Cochin,2,No Info,12819,810,24,6,23,5,12,35
IndiGo,Delhi,Cochin,1,No Info,6893,300,21,3,5,5,10,5
Vistara,Banglore,Delhi,0,No Info,7240,165,9,3,9,50,12,35
GoAir,Banglore,Delhi,0,No Info,3898,170,3,4,11,40,14,30
IndiGo,Mumbai,Hyderabad,0,No Info,4049,90,3,4,6,25,7,55
